City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,verkhnevilyuysk,31.3974,-102.3501,67.98,38,11,5.26,US,1731017898
338,nha trang,63.4453,120.3167,-3.57,100,87,3.33,RU,1731017900
339,cadale,12.25,109.1833,80.6,92,99,7.27,VN,1731017901
340,panambi,2.7603,46.3222,78.85,79,11,10.07,SO,1731017902
341,pavlodar,-28.2925,-53.5017,69.4,88,99,13.65,BR,1731017903
342,isabel segunda,52.3,76.95,24.6,74,75,22.37,KZ,1731017904
343,buka,18.1491,-65.4427,80.33,75,97,6.78,PR,1731017905
344,tosontsengel,40.8108,69.1986,43.59,49,10,1.45,UZ,1731017906
345,ipueiras,48.7567,98.2839,24.62,91,100,0.81,MN,1731017907
346,al-`ula,-7.0333,-40.45,85.5,36,100,7.56,BR,1731017909
347,tomatlan,6.9248,158.1611,85.05,74,100,6.91,FM,1731017911
348,leninskiy,19.9333,-105.25,85.5,62,2,9.71,MX,1731017912
349,petropavlovsk-kamchatsky,54.2781,37.4558,40.73,95,100,9.33,RU,1731017913
350,lijiang,53.0452,158.6483,14.59,67,75,6.71,RU,1731017914
351,yaren,26.8688,100.2207,45.18,98,100,2.95,CN,1731017915
352,bundi,-0.5472,166.916,83.3,70,100,14.38,NR,1731017917
353,vallenar,25.4417,75.6417,72.23,39,3,1.72,IN,1731017918
354,san jose village,-28.5708,-70.7581,77.72,34,0,6.64,CL,1731017919
355,kolin,-32.1667,152.5167,72.37,94,28,4.97,AU,1731017921
356,casper,50.0281,15.2006,38.17,94,75,3.44,CZ,1731017922
357,mchinji,42.8666,-106.3131,45.72,43,0,13.8,US,1731017864
358,port shepstone,-13.7984,32.8802,69.3,66,14,6.33,MW,1731017925
359,yaring,-30.7414,30.455,63.81,84,100,8.84,ZA,1731017926
360,concepcion,6.8662,101.3689,77.41,88,100,3.96,TH,1731017927
361,terrace,-36.827,-73.0498,60.6,63,0,13.8,CL,1731017399
